project	donor_id	file_id	object_id	bundle_id	file_name
ESAD-UK	DO50354	FI811127	a6740383-04a4-5ee2-81df-091fffc2efd1	EGAR00001193661	bad27c48865de428e13e87948f843192.LP2000103-DNA_A01.bam
ESAD-UK	DO219113	FI811276	94ff63f8-bf35-5146-afdc-65ef60dd5c23	EGAR00001253312	a6f174c7814138b6a64f0c62364f6361.LP6005935-DNA_A03.bam
ESAD-UK	DO227571	FI811291	87c098e0-9b6d-53eb-8787-2960376e2d68	EGAR00001325078	2e565b1596e35378bc270f8c2e0915ea.LP6008051-DNA_B02.bam
ESAD-UK	DO227672	FI811224	dcf3f8f3-e65a-5ff7-abf8-4d0c4a73dead	EGAR00001192943	0469a24ca82abc1fcb85c4b962f0620b.LP6005408-DNA_A01.bam
ESAD-UK	DO50336	FI808422	629eb5f3-8581-5b8d-9d76-45165a66f3f1	EGAR00001223847	7530574ec95def2999ff4f4193bd222c.LP6007414-DNA_A02.bam
ESAD-UK	DO50331	FI808280	1fecc649-9a4c-5e80-8583-007be07553c0	EGAR00001180018	5a7569286d5042a12c985778312bbcb9.LP6007594.bam
ESAD-UK	DO10850	FI811343	dd0e4822-a9b0-5495-ba77-0fe240b5d08d	EGAR00001131302	376cf8f2d4801d3546827fc573dac708.SS6003301.bam
ESAD-UK	DO50314	FI811262	cdf3752c-09b6-51fc-8305-b87316e5bfc4	EGAR00001219059	732408762d6b04d96376dec335d3eaf9.LP6005334-DNA_E01.bam
ESAD-UK	DO227840	FI811270	4e00b9cd-e6af-5ec9-88c6-b6a4575bb0cb	EGAR00001253367	f266188696b4538440b85a5ff345bf1d.LP2000319-DNA_A01.bam
ESAD-UK	DO227471	FI811272	ebe9e271-844f-5b3f-bb0a-ae04df974e8e	EGAR00001253370	2415126f2050ed2e56e2b0bdbd85bc28.LP2000322-DNA_A01.bam
ESAD-UK	DO227498	FI811283	29fc1e96-8686-5020-8d3c-c6a7bcbce10e	EGAR00001325022	46593d6301284a7d1f802feecdf72927.LP6008032-DNA_F02.bam
ESAD-UK	DO229416	FI811313	3f6c5d91-cf78-5983-92ec-18743bbb5cce	EGAR00001566485	db19d16d96f9f51f44277f52dd41fcf1.LP6008269-DNA_B06.bam
ESAD-UK	DO229516	FI811214	15c078e7-539c-5b52-baac-aec60f289033	EGAR00001566492	48e1c09d0b49e8eaf17e0b9b67a7dd18.LP6008269-DNA_B07.bam
ESAD-UK	DO10854	FI811218	31a463ea-0a96-5471-926c-2a420adef5d7	EGAR00001141759	61e5f9e5f0bda2a41bed5906a024f780.SS6003314.bam
ESAD-UK	DO50349	FI811250	fe791300-ae3e-5cd7-95cd-7edd12da4a13	EGAR00001192989	bb0b17414a91ffdb644f37f0f26eed9f.LP6005409-DNA_E02.bam
ESAD-UK	DO227660	FI811198	acdc4265-cb3b-5898-8929-b7464bf2cdc9	EGAR00001202520	af288830b76dc8e7496ed45827b9027a.LP6005499-DNA_F01.bam
ESAD-UK	DO50314	FI811160	965fbf21-0ae2-51d6-acd7-c6d5373e472e	EGAR00001219077	6657e8687ed6a4694d1b2db925ac8105.LP6005333-DNA_E01.bam
ESAD-UK	DO50357	FI811164	b5e4798b-5c79-508f-8976-c38b554e5e49	EGAR00001192955	8e9ffbfbddba5aae72467b6871c51c79.LP6005408-DNA_F02.bam
ESAD-UK	DO50337	FI807419	f7cc5890-4319-5fd8-b834-0d392a8a2b07	EGAR00001193163	54832790144149980f9ffb221b9496a3.LP6007415-DNA_A01.bam
ESAD-UK	DO50331	FI807420	71f9d159-d03a-5671-956c-6ce2373e7033	EGAR00001180013	91c6204e0ded72a38d9432e17f10c480.LP6007593.bam
ESAD-UK	DO10855	FI806702	5c984bd2-b469-54a0-a5e5-0c114e9a67f4	EGAR00001131310	71f013923f3982b3dc9b8938fb6a10a9.SS6003316.bam
ESAD-UK	DO227552	FI808274	d4a530f4-ec4e-595c-9f70-4e4561899637	EGAR00001192976	641499d6aa602337b25495ec9e4e3b6b.LP6005409-DNA_H02.bam
ESAD-UK	DO227599	FI811326	35433370-d367-5703-8d16-669ed95d6da4	EGAR00001193123	0490e73b7673d917387b120434a83f50.LP6005690-DNA_H01.bam
ESAD-UK	DO50381	FI811230	aa34c7cb-e734-566b-8ec6-a1943f72c2b1	EGAR00001193098	233bb36e10729aac24a56be880b835f9.LP6005689-DNA_A02.bam
ESAD-UK	DO227768	FI811243	85868477-a10b-54cc-833f-ccdd3c0decde	EGAR00001193695	b8a51266c33a7a1ff96051bf065b07ca.LP6007517-DNA_A01.bam
ESAD-UK	DO50346	FI811200	55fbd9d2-e5df-5dba-96c6-4a222b8495cc	EGAR00001192988	a2118275dd266b9b23e4608a127d6618.LP6005409-DNA_D02.bam
ESAD-UK	DO50345	FI811193	63b8d8a0-27e3-5fce-ad2b-b506ecb05d1f	EGAR00001193660	5363c7e70c6e8aefc6cfcff7cf635b5e.LP2000101-DNA_A01.bam
ESAD-UK	DO50447	FI811179	6e5ee110-1008-5615-a82f-7e97bf72ab94	EGAR00001202502	9096c45c0e4a9b2c1f5671a3d002bf89.LP6005500-DNA_G01.bam
ESAD-UK	DO50387	FI811266	1404022e-c0a8-5b72-afac-0ea8cc32de44	EGAR00001219060	b4e5ac080ed8ad8a30fa7c80f23d5f1c.LP6005334-DNA_G01.bam
ESAD-UK	DO228695	FI811275	48ffe99b-72ad-5da0-a9e6-da70c9a87ab5	EGAR00001253329	687f384863cc44f1ffba4120d3db19e5.LP6005934-DNA_C01.bam
ESAD-UK	DO219116	FI811277	0085ebec-b3a5-5d8a-bb87-2463dc22f11a	EGAR00001253317	6130b78411c656e3f37babf5640ec505.LP6005935-DNA_G03.bam
ESAD-UK	DO228718	FI811294	cf863503-3bee-554e-b371-78a808484a8c	EGAR00001325082	b1e93c9f738ad288e3a31fa5a5f07d70.LP6008051-DNA_A01.bam
ESAD-UK	DO50332	FI808277	e87b5228-300a-523e-b7c6-ebf59b331b7d	EGAR00001193686	2a6e72b16865fe8f6e2f996c8caf36cb.LP6007542-DNA_A01.bam
ESAD-UK	DO50334	FI808273	546c33c3-068b-5bb8-bc31-fa908c5d4752	EGAR00001193006	84d756983fe7d19d59c59c00aad2b377.SM-4AX85.bam
ESAD-UK	DO219114	FI811271	81bd77dc-a7f3-53ee-9fe3-39ccc419e2cb	EGAR00001253344	61472af30a06f1485067e6f390911593.LP6005934-DNA_B03.bam
ESAD-UK	DO227530	FI811273	f39939f8-f42e-5d05-9751-f88e650be9d6	EGAR00001325011	400caa6495a65d159b53bef4c5728655.LP6008032-DNA_C01.bam
ESAD-UK	DO229532	FI811278	1d74f78b-fab2-504e-8582-620279364e45	EGAR00001253306	546443b57adec2626913e40c9d4ac73a.LP6005935-DNA_B02.bam
ESAD-UK	DO228715	FI811293	482831fa-f8d8-533d-8881-6cabeb40bc3b	EGAR00001370190	9c06d9e88402fd98c8ed73d7d0c4e444.LP6008141-DNA_A01.bam
ESAD-UK	DO228994	FI811309	6c5d27a8-7f98-501e-bc2c-13ce2c85961b	EGAR00001500338	848198179237990ee8db8e81de18dacf.LP6008264-DNA_E01.bam
ESAD-UK	DO10857	FI811329	df2a06ad-0799-5c30-b0e6-0923e8d463a2	EGAR00001131292	b62e1ed793eb550755e64f94fb5fc59e.SS6003322.bam
ESAD-UK	DO50356	FI811233	913aa1b3-9acd-54fe-8b05-b56531d979ed	EGAR00001193102	2fffd2cafd06845cdeee5fce944ba603.LP6005689-DNA_E02.bam
ESAD-UK	DO227917	FI811236	235d482a-873c-57ef-9f9c-28725d1b18b1	EGAR00001192970	3f8fdd3ea69893cba30c12f76394e18f.LP6005409-DNA_B01.bam
ESAD-UK	DO50449	FI811184	d04ef2f0-9a09-5e9e-a9c3-2bb3c93dfe5e	EGAR00001202534	a65999135c68b544a8875fba06ccb63b.LP6005499-DNA_D03.bam
ESAD-UK	DO50319	FI811188	79e95a6c-3bcd-5e20-ae83-43ea49c97000	EGAR00001180019	5f71e161d94eccfc1039caba5352c67d.LP6007597.bam
ESAD-UK	DO219119	FI811158	155c218b-1719-54d6-9974-78e4162e72e6	EGAR00001193671	cac974a7268d8b8540dbf7850a30bd96.LP6007529-DNA_A01.bam
ESAD-UK	DO229418	FI811166	844ef1c3-cf7a-50e4-b3dc-4045b786f4e4	EGAR00001566556	64f649a0c61212dd40c424718e34613f.LP6008268-DNA_F05.bam
ESAD-UK	DO50411	FI811159	e3d14e02-8849-550e-b60e-b0a294a03424	EGAR00001180016	8dcec386aa805024ed68314c85ce949f.LP6007601.bam
ESAD-UK	DO227778	FI811175	383f1569-9165-53bb-9e3d-0cb7e0f2ba46	EGAR00001325038	832c736377c89c4210226583b188a61d.LP6008031-DNA_F01.bam
ESAD-UK	DO10856	FI808288	b78add62-5f5c-5d4e-9ed8-7c17b5014adf	EGAR00001141755	e6daed31ce218361f3c29742a5df3387.SS6003320.bam
ESAD-UK	DO10856	FI808283	25927050-4e31-5309-9f68-0cda511f7a37	EGAR00001131296	a8e44e4ed3a98cdd115ce4d824b8dbff.SS6003319.bam
ESAD-UK	DO50327	FI807428	37623b13-469e-5aae-8e80-bdf4c9dc1e72	EGAR00001193688	9d6de7ada4fe623c6533a53d9e5218dc.LP6007566-DNA_A01.bam
ESAD-UK	DO227583	FI807427	d73e149a-bb6e-5a84-8daf-e8b000a66f19	EGAR00001193162	22472bf65652bf3def856f9a7d97ed33.LP6007408-DNA_A01.bam
ESAD-UK	DO229471	FI811301	791567b0-a0a6-5acf-9690-6ae17b3dfbfd	EGAR00001436353	f3d2c4e9ac077a63249921bf592048e2.LP6008221-DNA_C02.bam
ESAD-UK	DO228970	FI811215	6270e382-92bb-5510-86f0-b01a795a64c0	EGAR00001500327	410966ca4790c8e2ec248e68a2cc91ec.LP6008280-DNA_D02.bam
ESAD-UK	DO227608	FI811229	550c1987-2794-59a7-bb63-69cbf78e713a	EGAR00001193096	3bf290a9e1e6e0b871e44678df158628.LP6005689-DNA_G01.bam
ESAD-UK	DO227883	FI811242	5254fe36-e3ed-5560-9bfe-f8310913cbf1	EGAR00001193702	7116c94a8fc8c5f73dfcd548cc4ade4d.LP6007534-DNA_A01.bam
ESAD-UK	DO50453	FI811187	569147ee-7aac-5ceb-b6a1-83efc6924f26	EGAR00001192991	2ebcd024c5a1d7b20f644c8190e7f7b1.LP6005496-DNA_B01.bam
ESAD-UK	DO50365	FI811140	208dd8f7-fc2a-587d-aef6-94d9210d0ff1	EGAR00001202503	0a17565c3c84ff24c465161e9aae8bb4.LP6005500-DNA_H01.bam
ESAD-UK	DO228984	FI811147	a1af7159-9bda-58d1-842a-30aa236c302c	EGAR00001436343	a13781a152c9abd78bf9f7ff51c7525b.LP6008221-DNA_A01.bam
ESAD-UK	DO229535	FI811137	e717a6e3-b176-5a9a-8d1b-4fcbaf155eb4	EGAR00001325055	77f0f8cba87fcf73a3f5770bdc27d1b0.LP6008031-DNA_D03.bam
